timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1486773015359,0,-206,-4.5263671875E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015369,0,-362,-7.954101562500001E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015396,0,-161,-3.53759765625E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015406,0,-161,-3.53759765625E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015435,0,-220,-4.833984375E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015474,0,-147,-3.22998046875E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015484,0,-111,-2.43896484375E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015511,0,-339,-7.448730468750001E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015521,0,-151,-3.31787109375E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015568,0,35,7.6904296875E-6,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015593,0,32,7.03125E-6,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015603,0,102,2.2412109374999998E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015613,0,2,4.39453125E-7,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015632,0,-122,-2.6806640625E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015670,0,-74,-1.6259765625E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015680,0,-123,-2.70263671875E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015708,0,-80,-1.7578125E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015718,0,-10,-2.197265625E-6,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015749,0,327,7.18505859375E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015759,0,-25,-5.4931640625E-6,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015784,0,272,5.9765625000000004E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015794,0,68,1.4941406250000001E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015820,0,118,2.5927734375E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015861,0,-110,-2.4169921875E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015872,0,61,1.34033203125E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015900,0,22,4.833984375E-6,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015910,0,57,1.2524414062500001E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015936,0,85,1.86767578125E-5,84,61,55,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015946,0,277,6.0864257812500005E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015980,0,5,1.0986328125E-6,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773015990,0,-74,-1.6259765625E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016000,0,-295,-6.48193359375E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016018,0,-371,-8.151855468750001E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016059,0,-169,-3.7133789062499996E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016069,0,86,1.8896484375000003E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016095,0,-517,-1.135986328125E-4,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016134,0,-170,-3.7353515625E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
1486773016147,0,-112,-2.4609375E-5,84,61,53,838532,382084,206622,11461,6015,185951,1965,1201157,Tag0,unknown
